Saham,voting,total jumlah persentase(%)
SIDO,19,10.764955212196233
KLBF,19,5.01057435019545
INKP,18,8.476382641828504
TAPG,18,11.10012303979382
ASRI,18,12.803847001681335
FILM,16,55.186302563867116
SMGR,16,5.3172254167051705
ERAA,16,9.404870557566003
INTP,16,176.8848097093621
MIKA,15,16.880258054440905
