Saham,voting,total jumlah persentase(%)
ICBP,20,16.703115587799005
UNVR,18,40.436585277742246
PGAS,15,13.110022054867434
INDF,15,3.6305702407621516
DMAS,14,5.139920331273673
MYOR,13,11.542222803346952
MIKA,12,12.430356610869174
TAPG,12,7.4166742313063585
AKRA,11,6.884026948848627
SSIA,11,4.1701180579317425
